0.00097656,16
0.0019531,17
0.0029297,16
0.0039062,15
0.0048828,15
0.0058594,14
0.0068359,14
0.0078125,9
0.0087891,-1
0.0097656,-14
0.010742,-27
0.011719,-44
0.012695,-68
0.013672,-94
0.014648,-109
0.015625,-110
0.016602,-99
0.017578,-72
0.018555,-31
0.019531,6
0.020508,33
0.021484,47
0.022461,51
0.023438,48
0.024414,43
0.025391,37
0.026367,32
0.027344,28
0.02832,26
0.029297,21
0.030273,13
0.03125,6
0.032227,-1
0.033203,-5
0.03418,-9
0.035156,-12
0.036133,-14
0.037109,-16
0.038086,-18
0.039062,-18
0.040039,-17
0.041016,-17
0.041992,-17
0.042969,-16
0.043945,-15
0.044922,-13
0.045898,-12
0.046875,-9
0.047852,-6
0.048828,-4
0.049805,-3
0.050781,-1
0.051758,0
0.052734,2
0.053711,3
0.054688,4
0.055664,6
0.056641,8
0.057617,8
0.058594,9
0.05957,10
0.060547,11
0.061523,11
0.0625,12
0.063477,13
0.064453,13
0.06543,14
0.066406,15
0.067383,16
0.068359,16
0.069336,16
0.070312,16
0.071289,16
0.072266,16
0.073242,16
0.074219,17
0.075195,17
0.076172,17
0.077148,17
0.078125,17
0.079102,17
0.080078,17
0.081055,16
0.082031,16
0.083008,16
0.083984,16
0.084961,16
0.085938,15
0.086914,15
0.087891,15
0.088867,14
0.089844,13
0.09082,13
0.091797,13
0.092773,12
0.09375,12
