0.00097656,-1
0.0019531,-1
0.0029297,-2
0.0039062,-2
0.0048828,-2
0.0058594,-3
0.0068359,-2
0.0078125,1
0.0087891,3
0.0097656,4
0.010742,3
0.011719,0
0.012695,-6
0.013672,-19
0.014648,-31
0.015625,-40
0.016602,-38
0.017578,-22
0.018555,3
0.019531,26
0.020508,44
0.021484,62
0.022461,76
0.023438,87
0.024414,92
0.025391,90
0.026367,82
0.027344,74
0.02832,67
0.029297,60
0.030273,54
0.03125,48
0.032227,47
0.033203,54
0.03418,64
0.035156,72
0.036133,76
0.037109,74
0.038086,65
0.039062,52
0.040039,34
0.041016,15
0.041992,-2
0.042969,-16
0.043945,-23
0.044922,-24
0.045898,-27
0.046875,-34
0.047852,-44
0.048828,-53
0.049805,-60
0.050781,-66
0.051758,-71
0.052734,-74
0.053711,-75
0.054688,-73
0.055664,-74
0.056641,-76
0.057617,-74
0.058594,-71
0.05957,-65
0.060547,-56
0.061523,-46
0.0625,-35
0.063477,-24
0.064453,-15
0.06543,-8
0.066406,-1
0.067383,6
0.068359,11
0.069336,12
0.070312,11
0.071289,12
0.072266,13
0.073242,12
0.074219,11
0.075195,10
0.076172,10
0.077148,9
0.078125,9
0.079102,7
0.080078,5
0.081055,7
0.082031,8
0.083008,8
0.083984,5
0.084961,1
0.085938,-2
0.086914,2
0.087891,8
0.088867,12
0.089844,10
0.09082,3
0.091797,2
0.092773,4
0.09375,2
