0.0013316,-102
0.0026631,-96
0.0039947,-115
0.0053262,-115
0.0066578,-104
0.0079893,-108
0.0093209,-98
0.010652,-95
0.011984,-207
0.013316,-302
0.014647,-366
0.015979,-364
0.01731,-355
0.018642,-342
0.019973,-359
0.021305,-365
0.022636,-331
0.023968,-300
0.0253,-296
0.026631,-277
0.027963,-246
0.029294,-214
0.030626,-180
0.031957,-124
0.033289,-72
0.034621,-9
0.035952,71
0.037284,107
0.038615,148
0.039947,176
0.041278,179
0.04261,198
0.043941,177
0.045273,279
0.046605,93
0.047936,72
0.049268,50
0.050599,47
0.051931,56
0.053262,65
0.054594,90
0.055925,100
0.057257,129
0.058589,159
0.05992,157
0.061252,189
0.062583,190
0.063915,203
0.065246,207
0.066578,214
0.067909,216
0.069241,203
0.070573,194
0.071904,179
0.073236,161
0.074567,138
0.075899,93
0.07723,82
0.078562,48
0.079893,18
0.081225,12
0.082557,-11
0.083888,1
0.08522,-2
0.086551,-17
0.087883,-18
0.089214,-25
0.090546,-21
0.091877,-14
0.093209,-2
